id,description,text,account_value,actor_value,frame_value,llama_classification
id_956494386002526208,"We help people be active citizens with technology, research and data used by individuals, journalists, and civil society in over 40 countries around the world.","When citizens decide how civic budgets should be spent - Participatory Budgeting is a nice idea, but does it work? That's what the mySociety Research team sought to discover in their latest paper: https://t.co/zrthjtfJ3d",Organisation,Civil,Dem,democracy
id_1052560321393647617,"PhD candidate from @CSDWestminster 🎓 interested in #publicspending #participatorybudgeting #networkanalysis 🔎 A toehold in Brazil, another one in Europe 🚲","🎓""Engaging Democracy: An Institutional Theory of Participatory Budgeting"" Another #PhD thesis about 2 cases of #participatorybudgeting both in the US and in the UK. Does it strengthen democracy? It depends https://t.co/qnvobBInTG #demopart cc @PBProject @pb_scotland",Individual,Political,Dem,democracy
id_796692009289469952,The peer-to-peer learning platform for government. Find out what Apolitical is doing to address COVID-19 here: https://t.co/u6m2yKU4m8,"Here's one way of building a better political culture: Portugal's nationwide participatory budget
https://t.co/YEqmcNXgTf",Organisation,Civil,Dem,democracy
id_580732850057711617,President and CEO of the Cambridge Chamber of Commerce. Former Cambridge Mayor and City Councillor.,"Stop by the @CambCommCenter this Saturday and vote in the
#CambMA Participatory Budget Project! http://t.co/rgVnKD3PvS @cambridgechron",Individual,Political,Dem,democracy
id_1356208009215664131,"The voice of Local Government in Scotland.
https://t.co/M0wtyD6yXN","COSLA's Community Wellbeing Spokesperson, @KellyMParry, has issued a joint letter with @ScotGovFairer to Local Authorities today regarding participatory budgeting.
🗞️Read more here - https://t.co/0cK8E1eE9h https://t.co/pscAbM999X",Organisation,Political,Dem,NA
id_1055357550672183301,We're the national agency for youth work representing more than 100 youth organisation members across Scotland. Account monitored Mon-Fri 9am - 5pm,"Join us and our colleagues at @YoungScot TODAY at 2pm live on Twitter as we discuss young people’s involvement in participatory budgeting, online voting and the Participatory Democracy Certificate. Got a question? Just tweet us between now and 2pm! #PBFest18 https://t.co/sD2Vg9aapa",Organisation,Civil,Dem,democracy
id_918478334392176640,"Deputy Chief of Staff, District Director @CoreyinNYC / Urban Policy @MilanoSchool",Awesome news! Excited to see the proposed $10k to initiate participatory budget in Ithaca @PBProject @SvanteMyrick https://t.co/YNNnfXcBQy,Individual,Political,Resources,NA
id_986057671697674240,"Community organizer, justice activist & politics nerd. Co-founder of @MDCNY. Born & bred Brooklyn. Bleed orange. #Mets #Knicks Tweets=my own","Vote week for Participatory Budgeting is over &amp; now, the counting of ballots begins! #PBNYC is one of the most inclusive civic participation projects in the country. Check out these ballots in Tibetan! Ballots were available in 13 languages this cycle. #vote #inclusivity https://t.co/R3zVJOErKF",Individual,Citizen,Dem,democracy
id_1026379892634644480,"The @uclg_org's Community of Practice on #Transparency and #OpenGov: fostering transparent, accountable, open and innovative cities and territories.","Want to know more about Participatory Budgeting &amp; #OpenGov? Join @COSLA and @opengovscot in this event and share  ideas about how PB can help government, nationally and locally.

⏰Thursday, 16th August 2018
🏦Cosla offices, Haymarket, Edinburgh
https://t.co/HrnakYuZ9d",Organisation,Civil,Dem,democracy
id_1113809744639201280,"Building a NYC in which every girl feels empowered to lead in her community, workplace, and the world. RT ≠ Endorsement. | https://t.co/wkjkVtXtLv",Want to make a difference in your community? @NYCCouncil’s Participatory Budgeting means you can cast a vote to fund projects in your neighborhood - like a park improvement or library upgrade. Learn more:  https://t.co/furfICO1Bz #gsnycVOTES #PBNYC @PB_NYC https://t.co/STBgdjtpww,Organisation,Civil,Resources,democracy
id_793556645611769857,protecting digital rights @accessnow I she/her | proudly Wisconsin bred | views = yours truly | #BlackLivesMatter | finding ✨ in the glorious mess |,@JoeCurtatone Learned Somerville will conduct participatory budgeting/@Voatz supports this initiative/Let me know if interested in @Voatz,Individual,Citizen,Dem,democracy
id_994895542646960128,Campaigning for a new style of #participatorydemocracy through #participatorybudgeting. We make people count. Tweets by https://t.co/Af2jc8GObo,"Is London ready for #ParticipatoryBudgeting? We think so, using experience from Paris, Madrid, New York, and elsewhere. So do @involveUK and @Demsoc. So we are collaborating to run a free event this June. Come along. https://t.co/ieAS1WmwW6",Organisation,Political,Dem,democracy
id_789448691190996995,Journalism. Building @TheSkotia. To the left. 🌹,".@melaniemain highlights local @ScotGP priorities: quality, affordable housing; active travel links; participatory budgeting. #SGPconf",Individual,Citizen,Resources,democracy
id_1136293469637545984,"Census decennial veteran.  @misoffact, @BrookingsInst, @legbranch. Many hats, @arlingtondems. Opinions my own. Hire me: https://t.co/oWTArkF2m2.","@MichaelNeblo: some states &amp; localities have experimented with participatory budgeting.  @DarrellIssa tried this in Congress: live input from constituents during hearing. France, Ireland, Canada, Belgium have experimented.  @ModernizeCmte",Individual,Citizen,Dem,democracy
id_1014206890144817153,"Director of Research at @PublicAgenda. Opinions are my own, obviously. Allegedly, I'm funny on Instagram. He/him.",Three theoretical pathways by which #participatorybudgeting could affect health disparities in communities: https://t.co/XVmCtUEZL4,Individual,Citizen,Justice,democracy
id_1306291886517301257,We help organisations build social capital and develop active citizens in their communities. Love working in communities across the UK to highlight strength.,"A small grant can make a big difference. Durham Police used a Small Grants Participatory Budget event to revitalise a disengaged community.
 https://t.co/vaxMn9mlwr",Organisation,Civil,Justice,NA
id_1440276851574800396,"Supporting communities build confidence and power. @scotgov lead for #ParticipatoryBudgeting | @PeoplePowrd board

Seconded from @SCDC_Org Own views etc.","Been so pleased to have the chance to work with
@OfficialSYP's @EllieMSYP.  Even before reading Ellie's excellent blog on the role #ParticipatoryBudgeting can help make young people's rights real.  Have a read: https://t.co/zFRPuEDmZm",Individual,Citizen,Dem,democracy
id_588124467550937089,"Celebrating food and businesses in Queens, NY. Using #QueensEats QueensEatsInstagram@gmail.com","Also some people living Woodside do not know about the Participatory Budget, let's not make this vote a socioeconomic priviledge thang.",Organisation,Citizen,Justice,democracy
id_1135607041068863488,"Renfrewshire Council news. Urgent queries: https://t.co/NWwwAOuYGY
View our social house rules: https://t.co/95MaYG0ypi",Our Youth Participatory Budget Steering Group gives young people a voice in their community by giving them a say in how we spend our Youth Challenge Fund. Interested? Sign-up for our event at Renfrew's King George V Playing Fields &amp; Pavilion 5 June 3.30pm https://t.co/wvJ7ULUh8C https://t.co/5yhapGmOFx,Organisation,Civil,Dem,NA
id_984446387612942336,Activist elected official fighting for a more just & equitable NYC. Currently: Public Advocate. Previously: Council Member & Tenant Organizer. #ItsTimeLetsGo,We're over halfway through @PB_NYC Vote Week! Learn more about #PBNYC and how to cast your vote for exciting projects in our community: https://t.co/Co13CrmVck https://t.co/ifia6FZDFa,Individual,Political,Dem,democracy
id_756949583037599745,"Follow us for news and analysis about the future of state and local government - politics, policy and management.",Participatory budgeting -- letting the people decide how to spend their city's money -- has expanded to 22 cities https://t.co/iCeWEcGNdu,Organisation,Media,Dem,NA
id_1042763652485537792,Our vision is to create a North Ayrshire that is Fair for All. See our plan ➡️https://t.co/BOQSBcafdr Monitored 8am-9pm weekdays & 10am-6pm weekends.,"Two weeks left to submit your applications for the North Coast PB Event! Individuals &amp; groups from Cumbrae, Fairlie, Largs, Skelmorlie &amp; West Kilbride can bid for up to £1,200 funding to benefit the community. More info: https://t.co/BZmE0don7o #ShapingNorthAyrshire https://t.co/pfhCOv4jMo",Organisation,Political,Dem,NA
id_1288791996040126464,"Co-Pres., Co-op/Condo Council, Vice Chair; CB 7, Chair; New York Community Aviation Roundtable, Pres; FDR Democratic Assoc - Opinions are mine alone",Many of the NYPD cameras are provided for through the Participatory Budgeting process. They were purchased with taxpayer dollars. Ms. Stone’s actions were criminal and selfish. #nypd #vandalism  https://t.co/pA9wZyElqu,Individual,Political,Problems,NA
id_789419950599507968,"Community Editor and columnist @ScotNational. Writer, pundit, policy nerd, rabbit fancier, hoarder. DMs open.",Power to the people? Here's what we can learn from Scotland's first forays into participatory budgeting https://t.co/7rwXoAxnBN #PBScot16,Individual,Citizen,Dem,democracy
id_713027750257418246,Trained and certified citizen volunteers providing auxiliary support to the emergency response efforts of the NYPD & FDNY of Manhattan's Upper West Side,Help us win! UWS CERT is competing for a Participatory Budgeting grant. Learn more here: https://t.co/ElKiROBt58 #vango,Organisation,Civil,Resources,NA
id_1390236152775462913,"Information, news and resources for participatory budgeting in Scotland.","The PB Scotland Network is about bringing people together across the country to share enthusiasm &amp; learning around participatory budgeting in Scotland.

Join us today 😀

https://t.co/UZm4n1C4eC https://t.co/GR8QVG0aWy",Organisation,Media,Dem,NA
id_1329531671067185156,The legislative body of the City of Atlanta. FB: https://t.co/IiK8oEtT2q IG: https://t.co/FqP3vu6gMr,It's time to celebrate! 🎉 District 2 Council member ⁦@AmirForATL⁩ announced today the completion of pedestrian-oriented infrastructure enhancements at two intersections in Downtown as part of his Downtown Decides! participatory budgeting initiative. https://t.co/yfLoivkRf9,Organisation,Political,Resources,democracy
id_960841706039054337,"Ullapool Community Trust delivers projects that offer social, economic and environmental benefits to the community @UllapoolCT #DevelopmentTRUST",Participatory Budgeting: How to give local people a voice in funding decisions https://t.co/QBJ2Wotwhr,Organisation,Civil,Dem,democracy
id_1129456785000210432,"ARC partners with CSOs & policy reformers in the global South to contribute to research & practice in the transparency, participation & accountability field.","1/2 #Philippine #participatorybudgeting enabled #participation of civil society in project identification, but was unable to improve government responsiveness. It provided #civilsociety with ‘voice’, but was constrained in enabling ‘teeth’ @jonathanfox707 https://t.co/Qjq8NVia91 https://t.co/XI5eeGNqtr",Organisation,Civil,Problems,justice
id_1186948699336990720,"We are a not-for-profit working towards a fairer, more equal society. Citizen juries, social enterprise, participatory budgeting and more.",Really encouraging how high on the agenda PB in schools and with young people is at #pbconf19... and we're on this with our new Erasmus+ project youthPBaccelerator. Learning from the USA. https://t.co/0XBAEUkusA,Organisation,Media,Dem,democracy
id_738371550517284864,Liberton & District Community Council,Participatory budgeting and Community Choices seminar: https://t.co/QbTwJy2Srg,Organisation,Civil,Dem,democracy
id_1224755171118452737,"Improving people's lives though #CivicTech, #OpenData, #OpenGov & #CivicStartups. Member of @CodeForAmerica's brigade program. **Support our fellows in 2021👇**",Advocacy Groups Demand that Mayor DeBlasio Fulfill Commitment to NYC Voters and Fund Citywide Participatory Budgeting Initiative. https://t.co/SiLO1Ew0U6,Organisation,Political,Dem,democracy
id_701302869954170880,"Passionate about people & #BusinessAgility. #Kanban, #Scrum & #FlightLevels Trainer. Organiser of @LeanAgileGlobal. Founder of @actineo_xyz he/his",Collaboration in action. My experience of taking part in the San Jose City Participatory Budget event. https://t.co/XvOQnhcTlm #wearesanjose,Individual,Citizen,Dem,democracy
id_1363481890573926400,"ReInvent Advisor | Well-Architected Solutions & Delivering Business Value | SAFe® SA-SGP-LPM-SDP-POPM-SASM, Kanban, Scrum | AWS-Azure-Google-CCSK | ** My Tweets",SAFe Participatory Budgeting is an LPM event in which a group of stakeholders decides how to invest the Portfolio budget across solutions and epics. Participatory budgeting ensures that value streams receive the funding required to advance the solutions a…https://t.co/k0BIgr1e8Q,Individual,Citizen,Dem,NA
id_1372366871404548097,"Sociology PhD student @UCSanDiego. Studying political sociology, fiscal democracy, public participation and political culture","First time attending PSA's Annual Conference. I presented my comparative case study on participatory budgeting and
had a good conversation with the other panelists. #PacSoc2021 https://t.co/K4Rv4YbicV",Individual,Citizen,Dem,democracy
id_641968024388567044,"Economic, racial and gender justice, the post office, and DC politics. Follow my work @takeonwallst. Views here are my own.","@OpenBudgets: Participatory budgeting scores still lag behind transparency scores, but Brazil, South Korea doing interesting pilots",Individual,Political,Dem,democracy
id_971786088015515650,"PhD student with an interest in group decision making & democracy. Volunteer at Wikimedia. #WikiLovesMonuments If you see gibberish, it's likely Dutch. ~~~~",Exciting days ahead with @PBProject in Phoenix on behalf of PB Stanford - looking forward to explore more facets of Participatory Budgeting.,Individual,Citizen,Dem,democracy
id_738387903550611457,"Christian, Igbo, Nigerian, African. A complex personality, not a stereotype - Western Media take note.

An admirer of M.I. Okpara - an unsung Nigerian hero.","3. Lula's Worker's Party introduced ""participatory budgeting"" in Porto Alegre. A far cry from Lagos' opacity. Even New York adopts it today.",Individual,Citizen,Dem,democracy
id_725006669323722752,"News and analysis of policy, innovations and everything else state and local government. A division of Government Executive Media Group.","[W]ithout direct community control, we don’t think it’s participatory budgeting.” https://t.co/hTTwNT1AuW https://t.co/ZmLWiULRwY",Organisation,Political,Problems,democracy
id_575719822975066112,"Management Consultant @ Big4s in past.
Tech Entrepreneur. Author of books 'Chalta Hai India' (Bloomsbury) & 'Winning Like Yuvraj' (Rupa)","Brazil is championing new way of involving citizens in government: participatory budgeting http://t.co/aa0hs0E8dq
 @PMOIndia @narendramodi",Individual,Citizen,Dem,democracy
id_967099397409566721,We are a Disabled People’s Organisation passionately working for equality and inclusion for all. https://t.co/1TSliHgyRV,"@jennifermor write

We need to be experimenting with mechanisms which ""give people real power to effect change in their lives, communities and beyond"". We need to use an idea like participatory budgeting to give local communities real power

Meaningful Innovation @RedbridgeLive ?",Organisation,Media,Dem,democracy
id_951560651570327552,Labour Cllr Redvales Ward| Deputy Leader of Bury Council |Cabinet Member Children Services & Skills|Governor Derby High|Chair of Governors St Lukes Primary|🙌,A positive meeting tonight of our elected member Neighbourhood engagement lead's. Great progress so far with engagement meetings and Participatory budgeting events across our Borough. So much more to do #helpingpeopletohelpthemselves,Individual,Political,Dem,democracy
id_706582758873767936,CEO Participatory City Foundation | Working with amazing people for a new way of life https://t.co/gDzJnwu8EF @ParticipatoryC @everyone_org Fellow @jwmcconnell,"Paper: Participatory budgeting increases participation, increases local tax revenues, channeled larger budgets … https://t.co/FBm16EMoTa",Individual,Citizen,Dem,NA
id_1384546771120975874,Icebreakers are ships that smash ice to clear a path. Icebreakers are conversation starters. Both can be blunt instruments. Words @KyraFreestar.,@mayorjenny I support Black-led participatory budgeting for true public health and safety #FreePB #BlackLivesMatter,Individual,Citizen,Justice,democracy
id_782962680059404288,"Nonprofit organization that empowers people to decide together how to spend public money, via #ParticipatoryBudgeting. RT ≠ endorsement.",Give your students a taste of civic engagement with #ParticipatoryBudgeting! https://t.co/8zz5WK8UK7,Organisation,Civil,Dem,democracy
id_555158928275689473,"The Seattle City Council is leading the way on ensuring Seattle remains a viable, safe, livable, and sustainable city.","""Participatory Budgeting"" = Seattleites pick where to spend a portion of the City budget. @NickJLicata hosting forum http://t.co/kM8cS4JFVs",Organisation,Political,Resources,democracy
id_859393058818977792,"KnowNow Information Ltd.
Data expertise for your company.
Award winning big data and Internet of Things consultancy.",Participatory budgeting for local councils explained - https://t.co/Rzi9NUzIw0 via @longshortmag #smartcities #localgov https://t.co/yCzrDmXCjj,Organisation,Civil,Dem,democracy
id_847350569840721920,"Digital communications & advocacy @Carleton_future
- former @UNDPEurasia @UNDPAlbania @UNVolunteers @UNACIDDIP @CAMHNews","Portugal announces nationwide participatory budget (although apparently not the 1st), voting via ATM https://t.co/3YvJZ2zjVl ht @justynakrol",Organisation,Citizen,Dem,democracy
id_1051817973139300353,"urban designer, urban planner, urban hacktivist - available on phone and email","Participatory budgeting in action, restoring the Oued Ras el Maa #participation #budget #urbandesign #wsud https://t.co/zUMRQovUU8",Individual,Citizen,Dem,NA
id_563372884416925696,"Africa Research Institute is a non-partisan think tank based in London. We aim to reflect, understand and build on the dynamism in Africa today.

RT≠endorsement",#Participatorybudgeting helped tackle the mistrust between citizens &amp; local authorities in Senegal http://t.co/Y7Qosjm9AY #demopart #Africa,Organisation,Political,Dem,democracy
id_1034109539681886208,"Blake Morris is a candidate for City Council (District 40- Brooklyn), an experienaced activist, advocate, progressive, and neighbor","Sen. Felder sent out this letter taking credit for repairing a stretch of sidewalk next to Sunset Park.

He had nothing to do with it.

The repair was prioritized/funded by @cmenchaca's participatory budget.

Using taxpayer money to send out misleading letters?

#VoteFelderOut https://t.co/ak9mKjJdOa",Individual,Political,Resources,problems
id_780856074744139776,"Former Organizer w/ @MoDemParty, #FightFor15, Former Ferguson Commissioner, 5th Ward Democratic Committeeman. 78 Dist State Rep.",The power/strength the 5th ward community would have if we had Participatory Budgeting....,Individual,Political,Dem,democracy
id_1197594867033133056,"⭐ All about youth work, resilience and a random ukulele enthusiast ⭐ Comments are my own.","Emma - @RYouthVoice and @ErskineYcouncil promoting and discussing the Celebrating Renfrewshire fund, Participatory Budget at the Linwood Local Area Partnership. Well done, you make it look easy! @RenCouncilNews @JohnKRenYS https://t.co/J3mWIRzrPn",Individual,Citizen,Dem,NA
id_744238465651351552,"Educator trying to #teach and #learn good ideas over bad, and use good #edtech over bad. Future of the world is at stake! #nopressure #MIE",The #Seattle Participatory Budget process is an opportunity 4 #teachers 2 engage ss in #democracy. @seayouthvoice https://t.co/TIoPXAqrHR,Individual,Edu,Dem,democracy
id_1336040980231778304,"Creating a healthy Long Beach with low-income communities of color by building community knowledge, leadership, & power","A Best Start leader, Ann Toun, explains how the Participatory Budgeting and Idea Collection process works. She was able to create/fund parenting classes for refugee parents in LB.

Watch 👇
https://t.co/gAHSIaJEqm",Organisation,Civil,Dem,NA
id_1164566252611887105,@ScotTories Calton Councillor | @GlasgowTories Communities Spokesperson | Fighting Against Glasgow's Nationalist Nightmare | Proud Unionist 🇬🇧,"Today I visited @GDA__online to discuss issues that effect disabled people in Glasgow and what the council and councillors can do to help.

Issues ranged from improving infrastructure, public transport, participatory budgeting and social care in Glasgow. https://t.co/49X1ABnrAv",Organisation,Political,Justice,democracy
id_856955451661049856,Working to maintain vibrant democracy & keep followers in the loop about all things electoral.,#OurDemocracy #Oban @Peoples_Council hustings: Unanimous support for Argyle &amp; Bute council to use 1% of budget for participatory budgeting. https://t.co/A0tqjkBvey,Organisation,Political,Dem,democracy
id_1004866612443267074,Serving Solano and Napa counties since 1875.,City Hall accepting ideas for next round of Participatory Budgeting https://t.co/xGjTfLpcFu,Organisation,Media,Dem,democracy
id_1199627798308098048,Using lenses to change perceptions about Africa.,Happy to have been called upon to help setup an exhibition telling the Participatory Budgeting story at the ongoing KADP Expo at the World Bank.  #Partnerships4Devolution https://t.co/fcTU6jQZVe,Individual,Citizen,Dem,democracy
id_793472810114883585,"The Hermosa Neighborhood Association is a volunteer-run resident advocacy group: better services, schools, parks, + safety in Hermosa, Chicago. 90% latinx pop.",Here are winning participatory budgeting projects in the 36th Ward. Lots of wins for Hermosa https://t.co/GxW6mpYJJh @gilbert36ward #HNA,Organisation,Civil,Dem,NA
id_576319339546161153,"Poacher turned game keeper, former journo, mum of a small person, cat lady and novice gardener. Not necessarily in that order..",Someone will undoubtedly correct me but participatory budgeting is where you allow people to take spending decisions collectively #coslais15,Individual,Citizen,Dem,democracy
id_853982383984521217,"Award winning public access TV offering borough residents low-cost production training, hyperlocal news & shows in 40+ languages.","Participatory budgeting #NYC is a way to manage public money by giving power to the people. Learn more here!

https://t.co/1oDFSZYzhw https://t.co/3WBDYCf5za",Organisation,Media,Dem,NA
id_728592975442235393,"Designated coordinator for City Prosperity Initiative- Metropolitan Cities, a program jointly created by UN-Habitat.",Great discussion yesterday on Participatory Budgeting. Thank you @imfgtoronto for organizing! #imfgtalks #BCBI https://t.co/Gd83TS4997,Organisation,Civil,Dem,NA
id_1260229710853914628,"""Housing is advanced in the interest of the general welfare; when you separate civil rights from housing - you weaken that general welfare"" (Marcantonio, 1949).",How Participatory Budgeting can create affordable housing and a just economy https://t.co/CvR0uFYKGw,Individual,Citizen,Justice,justice
id_1141431848238796801,"Harness community intelligence & imagination by establishing deliberative, participatory, and transparent public policy solution systems. by Thomas Hodgkins.",“an experiment in direct democracy in which more than ten thousand residents voted throughout May on how to spend $2.4 million of city money” #ParticipatoryBudgeting        https://t.co/BGEaxViVZi,Organisation,Civil,Dem,democracy
id_705516145248436226,"Gardening, cooking, cycling, permaculture. Remainer, vegan and Green.
Often found walking 2 rescue dogs. Sto imparando parlare italiano. She/her","Great idea: #Participatory #budgeting - real money, real power https://t.co/usY3All7lr
 #community @PBProject",Individual,Citizen,Dem,NA
id_1301677620871016448,I changed my handle from #ingeniousagile to #rethinkwithv. Helping others get unstuck and ReThink . Life is too short- live it!,"Participatory Budgeting in Schools- say what?!? Come check out what @lukehohmann is cooking up with Tilliden to help improve the lives of young adults and school systems through financial intelligence. Register now!https://t.co/qfs5HlTTev
#education#futureofeducation#innovation https://t.co/Mzmdjafu6Z",Individual,Citizen,Dem,NA
id_669629226966904832,"Shareable is a nonprofit media outlet and action network that empowers people to share for a more resilient, equitable, and joyful world.",Portuguese town uses gamification to get an amazing 25% turnout for participatory budgeting https://t.co/fsT8AV9Ry1 https://t.co/yPw2gHDq2G,Organisation,Civil,Dem,democracy
