user_id,marital,age,race,rincome,partyid,relig,tvhours,timestamp
id_139,Never married,31,Black,Less than 10000,Not str republican,Protestant,6,2001-01-11T08:14:28Z
id_140,Married,32,Black,$10000 - 14999,Independent,Catholic,4,2000-06-27T13:27:07Z
id_141,Never married,42,Black,Less than 10000,Independent,Protestant,6,2000-05-11T19:28:39Z
id_142,Divorced,54,Black,Less than 10000,Not str democrat,Protestant,6,2000-06-16T14:18:48Z
id_143,Married,47,Black,Less than 10000,Not str democrat,Protestant,10,2000-01-22T13:25:43Z
id_144,Never married,31,Black,$25000 or more,Strong democrat,Protestant,1,2000-03-26T00:25:11Z
id_145,Separated,40,Black,Less than 10000,Independent,Catholic,3,2000-11-22T04:01:11Z
id_146,Separated,60,Black,$15000 - 19999,Strong democrat,Protestant,8,2000-04-12T08:00:38Z
id_147,Never married,43,Black,Less than 10000,Strong democrat,None,2,2000-04-15T05:44:22Z
id_148,Never married,34,Black,$10000 - 14999,Not str democrat,None,0,2000-02-15T19:08:26Z
id_149,Never married,44,Black,$15000 - 19999,Strong democrat,Protestant,5,2000-04-17T15:55:20Z
id_150,Divorced,31,Black,Less than 10000,Independent,None,3,2000-10-12T16:33:40Z
id_151,Divorced,45,White,$25000 or more,Not str democrat,Catholic,3,2000-11-23T21:30:50Z
id_152,Married,71,White,Less than 10000,Not str republican,Protestant,1,2000-07-18T19:45:54Z
id_153,Married,38,White,$15000 - 19999,Not str republican,Catholic,1,2000-06-08T16:52:42Z
id_154,Married,31,White,$25000 or more,Not str republican,Catholic,1,2000-04-17T22:17:36Z
id_155,Married,38,Black,$25000 or more,Not str democrat,Protestant,2,2000-02-28T09:21:24Z
id_156,Married,47,White,$25000 or more,Independent,Other,1,2000-06-09T11:11:48Z
id_157,Married,35,White,Less than 10000,Strong republican,Protestant,0,2000-08-15T01:21:55Z
id_158,Married,68,White,Less than 10000,Strong republican,Protestant,3,2000-04-07T02:40:17Z
id_159,Married,26,White,$25000 or more,Independent,Protestant,1,2000-06-29T12:19:39Z
id_160,Never married,23,Other,$20000 - 24999,Not str republican,Catholic,2,2000-04-07T12:18:56Z
id_161,Never married,22,White,$15000 - 19999,Strong democrat,Protestant,6,2000-07-20T13:41:05Z
id_162,Widowed,53,White,$25000 or more,Independent,Protestant,1,2000-05-27T06:10:59Z
id_163,Married,43,White,$25000 or more,Independent,Catholic,3,2000-09-12T14:57:18Z
id_164,Widowed,74,White,Less than 10000,Not str democrat,Catholic,1,2000-06-03T20:58:22Z
id_165,Married,47,White,Less than 10000,Strong republican,Protestant,1,2000-05-27T19:43:04Z
id_166,Married,37,White,$25000 or more,Independent,Catholic,2,2000-08-01T01:24:01Z
id_167,Never married,22,White,$10000 - 14999,Independent,Other,12,2000-10-15T16:34:57Z
id_168,Married,59,White,$25000 or more,Independent,None,1,2000-04-08T15:39:13Z
id_169,Married,58,White,Less than 10000,Independent,None,8,2000-06-17T19:02:50Z
id_170,Never married,40,White,$25000 or more,Independent,Other,2,2000-04-24T23:16:38Z
id_171,Married,63,White,Less than 10000,Strong republican,Protestant,2,2000-09-05T07:10:07Z
id_172,Widowed,67,White,Less than 10000,Strong republican,Catholic,8,2000-03-26T00:14:06Z
id_173,Never married,19,White,Less than 10000,Independent,Protestant,7,2000-11-29T19:44:07Z
id_174,Married,44,Other,$25000 or more,Not str democrat,Catholic,8,2000-10-17T23:20:20Z
id_175,Married,42,White,$25000 or more,Not str republican,Protestant,2,2000-09-19T07:41:52Z
id_176,Divorced,59,White,$25000 or more,Independent,Protestant,1,2000-08-31T22:09:16Z
id_177,Married,52,White,$25000 or more,Independent,Protestant,2,2000-06-02T23:13:28Z
id_178,Separated,51,White,Less than 10000,Not str democrat,None,12,2000-07-30T15:33:43Z
id_179,Married,36,White,$25000 or more,Strong democrat,Other,1,2000-12-03T20:41:42Z
id_180,Married,45,White,$25000 or more,Independent,Protestant,2,2000-08-18T15:34:42Z
id_181,Married,58,Black,$25000 or more,Not str democrat,Protestant,4,2000-11-21T02:00:20Z
id_182,Never married,25,White,$25000 or more,Independent,None,2,2000-05-12T02:01:48Z
id_183,Never married,34,Other,$15000 - 19999,Not str democrat,Catholic,2,2000-10-03T23:06:27Z
id_184,Never married,48,White,$25000 or more,Independent,None,3,2000-04-24T17:24:07Z
id_185,Married,42,White,$25000 or more,Strong democrat,Other,3,2000-08-23T06:11:46Z
id_186,Married,52,Black,$20000 - 24999,Independent,None,1,2000-07-12T21:08:06Z
id_187,Never married,38,Black,$25000 or more,Strong democrat,Protestant,1,2000-04-24T17:31:59Z
id_188,Widowed,89,White,Less than 10000,Not str republican,Protestant,3,2000-08-12T08:50:52Z
id_189,Married,52,White,$25000 or more,Not str republican,Protestant,2,2000-12-17T22:55:51Z
id_190,Married,76,White,Less than 10000,Strong republican,Protestant,5,2000-12-13T19:33:00Z
id_191,Married,50,Other,$25000 or more,Not str democrat,Protestant,1,2000-04-28T01:45:54Z
id_192,Divorced,43,White,Less than 10000,Independent,Other,1,2000-05-15T09:23:24Z
id_193,Married,40,White,Less than 10000,Strong democrat,Other,2,2001-01-13T11:21:18Z
id_194,Married,42,White,Less than 10000,Not str republican,None,4,2000-09-01T15:30:24Z
id_195,Married,45,White,$25000 or more,Strong democrat,None,12,2000-12-26T18:51:09Z
id_196,Never married,26,White,Less than 10000,Not str democrat,Protestant,5,2000-07-07T11:30:31Z
id_197,Married,49,White,$25000 or more,Independent,None,2,2000-06-15T15:06:10Z
id_198,Divorced,57,White,Less than 10000,Independent,Protestant,12,2000-09-16T00:09:53Z
id_199,Married,35,Other,Less than 10000,Not str democrat,Catholic,3,2000-03-14T11:41:53Z
id_200,Married,46,White,$20000 - 24999,Strong republican,Protestant,2,2000-08-15T09:32:59Z
id_201,Married,53,White,$25000 or more,Not str democrat,Catholic,2,2000-04-15T02:27:17Z
id_202,Never married,28,White,$25000 or more,Strong republican,Protestant,1,2001-01-04T22:50:47Z
id_203,Married,32,White,Less than 10000,Not str democrat,Catholic,2,2000-08-25T19:52:55Z
id_204,Married,53,White,$25000 or more,Not str republican,Protestant,1,2000-07-25T05:30:24Z
id_205,Divorced,53,White,$25000 or more,Not str democrat,Protestant,1,2000-06-14T01:41:23Z
id_206,Divorced,73,White,Less than 10000,Independent,None,2,2000-12-05T21:34:16Z
id_207,Married,58,White,Less than 10000,Strong democrat,Catholic,3,2000-05-30T23:40:06Z
id_208,Married,58,White,Less than 10000,Not str democrat,Protestant,3,2000-05-03T05:22:45Z
id_209,Married,52,White,Less than 10000,Not str republican,Protestant,1,2000-03-21T04:25:59Z
id_210,Never married,38,White,$25000 or more,Strong democrat,Other,3,2000-03-21T17:50:31Z
id_211,Married,34,White,$25000 or more,Independent,Other,2,2000-07-13T03:44:52Z
id_212,Divorced,52,White,$20000 - 24999,Independent,Protestant,6,2000-04-20T07:31:46Z
id_213,Never married,20,Other,Less than 10000,Independent,None,4,2000-04-06T21:04:03Z
id_214,Separated,38,Other,Less than 10000,Strong democrat,Catholic,3,2000-09-21T13:12:27Z
id_215,Widowed,84,White,Less than 10000,Strong democrat,Catholic,11,2000-02-05T04:09:46Z
id_216,Never married,20,White,Less than 10000,Independent,Protestant,2,2000-10-01T05:46:44Z
id_217,Widowed,38,White,$25000 or more,Strong democrat,Protestant,8,2000-05-26T12:28:31Z
id_218,Divorced,70,White,Less than 10000,Strong republican,Protestant,2,2000-06-16T09:38:58Z
id_219,Never married,31,White,Less than 10000,Independent,Catholic,4,2000-11-14T04:43:19Z
id_220,Divorced,26,Black,$25000 or more,Strong democrat,None,4,2000-12-20T00:43:42Z
id_221,Widowed,84,White,Less than 10000,Strong democrat,Catholic,6,2000-05-01T03:12:51Z
id_222,Married,41,Black,$25000 or more,Not str republican,None,7,2001-01-04T11:49:48Z
id_223,Never married,30,White,$20000 - 24999,Independent,None,10,2000-10-11T07:42:07Z
id_224,Married,34,White,Less than 10000,Independent,Catholic,2,2000-09-25T22:36:15Z
id_225,Married,52,White,$25000 or more,Not str republican,Catholic,7,2000-02-07T01:40:00Z
id_226,Married,52,White,$10000 - 14999,Independent,Protestant,2,2000-06-11T09:05:57Z
id_227,Divorced,26,Other,Less than 10000,Not str democrat,Other,1,2000-07-11T14:52:45Z
id_228,Never married,21,Other,Less than 10000,Not str democrat,Other,1,2000-08-10T18:45:00Z
id_229,Married,28,Black,$15000 - 19999,Strong democrat,Protestant,6,2000-09-30T07:00:55Z
id_230,Married,35,Other,$25000 or more,Strong democrat,Other,1,2000-12-18T20:50:59Z
id_231,Divorced,49,Black,Less than 10000,Not str democrat,Protestant,2,2000-09-01T01:04:57Z
id_232,Widowed,74,White,Less than 10000,Strong republican,Catholic,4,2000-06-23T12:44:24Z
id_233,Married,66,Other,$15000 - 19999,Strong republican,Catholic,4,2000-08-04T03:07:10Z
id_234,Married,25,White,$15000 - 19999,Strong republican,Protestant,0,2000-02-09T03:09:38Z
id_235,Married,54,White,$20000 - 24999,Not str democrat,None,2,2000-04-23T04:51:07Z
id_236,Divorced,51,Black,Less than 10000,Not str democrat,None,12,2000-06-12T02:04:05Z
id_237,Married,31,Other,$25000 or more,Strong democrat,Catholic,1,2000-03-31T02:28:31Z
id_238,Separated,36,Black,$25000 or more,Strong democrat,Other,1,2000-11-18T05:08:14Z
id_239,Widowed,60,White,$15000 - 19999,Independent,Protestant,0,2000-03-14T16:26:48Z
id_240,Divorced,35,Black,$25000 or more,Strong democrat,Catholic,5,2000-11-07T18:42:50Z
id_241,Married,51,White,Less than 10000,Strong democrat,Other,6,2000-08-05T20:48:23Z
id_242,Married,53,White,$15000 - 19999,Strong democrat,None,1,2000-09-17T03:17:01Z
id_243,Married,52,White,$25000 or more,Not str democrat,None,1,2000-03-21T13:41:06Z
id_244,Married,28,Black,Less than 10000,Independent,Other,1,2000-09-06T10:14:37Z
id_245,Never married,20,Black,Less than 10000,Not str democrat,Protestant,10,2000-05-11T20:56:57Z
id_246,Divorced,66,White,Less than 10000,Not str democrat,Catholic,3,2000-10-09T21:58:15Z
id_247,Never married,31,Black,Less than 10000,Strong democrat,Protestant,5,2000-06-12T17:46:22Z
id_248,Never married,25,Other,Less than 10000,Independent,Catholic,3,2001-01-07T12:18:44Z
id_249,Never married,24,Black,$25000 or more,Not str democrat,Protestant,7,2001-01-06T19:06:46Z
id_250,Never married,32,Black,$15000 - 19999,Not str democrat,None,3,2000-10-10T16:50:26Z
id_251,Married,38,Other,$25000 or more,Not str democrat,Catholic,4,2000-04-21T20:52:38Z
id_252,Married,59,White,$25000 or more,Strong democrat,Catholic,4,2000-04-08T21:40:14Z
id_253,Married,25,White,Less than 10000,Not str democrat,Catholic,2,2000-08-22T18:47:54Z
id_254,Widowed,59,White,Less than 10000,Independent,Catholic,3,2000-04-25T15:23:37Z
id_255,Married,29,White,$15000 - 19999,Independent,Catholic,2,2000-07-31T02:24:28Z
id_256,Never married,25,White,$25000 or more,Independent,Catholic,3,2000-11-01T03:29:15Z
id_257,Never married,32,Other,Less than 10000,Not str democrat,Other,1,2000-03-20T05:43:54Z
id_258,Never married,40,White,$25000 or more,Strong democrat,Catholic,2,2000-06-14T17:43:40Z
id_259,Married,37,Other,Less than 10000,Independent,Other,8,2000-07-09T07:48:41Z
id_260,Married,31,White,Less than 10000,Independent,Catholic,5,2000-12-01T10:56:08Z
id_261,Separated,36,Other,Less than 10000,Independent,Catholic,2,2000-12-22T12:54:15Z
id_262,Never married,55,White,$25000 or more,Independent,Other,4,2000-12-06T12:46:35Z
id_263,Married,36,White,Less than 10000,Independent,Other,2,2000-09-21T11:32:34Z
id_264,Married,53,White,Less than 10000,Not str democrat,Other,1,2000-12-31T11:45:08Z
id_265,Divorced,25,White,$25000 or more,Not str democrat,Catholic,2,2000-07-25T17:56:15Z
id_266,Married,29,White,Less than 10000,Independent,Catholic,2,2000-08-16T17:37:43Z
id_267,Married,45,White,Less than 10000,Not str democrat,Other,2,2000-05-20T19:49:07Z
id_268,Married,42,White,$25000 or more,Strong republican,Catholic,1,2000-05-24T20:23:06Z
id_269,Never married,21,Black,Less than 10000,Not str democrat,None,2,2000-01-26T01:22:44Z
id_270,Widowed,62,Other,Less than 10000,Not str democrat,Catholic,8,2000-07-20T18:11:43Z
id_271,Widowed,48,Black,Less than 10000,Not str democrat,Protestant,8,2000-12-02T12:43:51Z
id_272,Divorced,41,White,Less than 10000,Not str democrat,Catholic,2,2000-01-21T00:49:53Z
id_273,Never married,31,Black,$10000 - 14999,Not str democrat,Other,2,2000-02-14T02:26:07Z
id_274,Separated,37,Black,Less than 10000,Independent,Protestant,0,2000-03-18T19:55:01Z
id_275,Never married,32,Black,Less than 10000,Independent,Protestant,2,2000-10-26T16:06:00Z
id_276,Never married,27,Black,Less than 10000,Independent,Catholic,0,2000-10-13T19:20:40Z
id_277,Never married,19,White,Less than 10000,Independent,Catholic,2,2001-01-08T10:26:28Z
id_278,Married,39,White,Less than 10000,Not str republican,Catholic,1,2000-07-07T10:58:44Z
id_279,Never married,21,White,Less than 10000,Independent,Catholic,2,2000-02-14T22:52:44Z
id_280,Married,70,White,Less than 10000,Independent,Protestant,3,2000-09-12T04:42:14Z
id_281,Married,48,White,Less than 10000,Strong republican,Catholic,3,2000-10-22T08:58:04Z
id_282,Married,44,White,$25000 or more,Strong republican,Catholic,2,2000-03-08T21:49:31Z
id_283,Married,36,Other,$25000 or more,Not str democrat,Catholic,2,2000-06-11T21:05:04Z
id_284,Never married,29,Black,Less than 10000,Not str democrat,Protestant,10,2000-04-10T01:45:24Z
id_285,Married,51,Other,$15000 - 19999,Not str democrat,Catholic,2,2000-02-08T22:35:36Z
id_286,Never married,33,Other,$25000 or more,Not str democrat,Catholic,2,2000-06-11T15:00:24Z
id_287,Married,82,White,Less than 10000,Not str republican,Catholic,5,2000-02-11T11:48:56Z
id_288,Married,49,White,$25000 or more,Not str democrat,Catholic,1,2000-04-10T09:40:19Z
id_289,Never married,41,Other,$25000 or more,Strong democrat,Other,1,2000-02-07T17:20:51Z
id_290,Never married,19,Black,Less than 10000,Independent,None,1,2000-09-20T01:14:34Z
id_291,Never married,19,Other,Less than 10000,Strong democrat,Other,4,2000-05-06T16:50:57Z
id_292,Married,25,Other,$25000 or more,Independent,Other,1,2000-02-24T14:13:26Z
id_293,Married,35,White,$25000 or more,Strong republican,Catholic,4,2000-02-14T01:05:28Z
id_294,Married,49,White,$20000 - 24999,Not str democrat,Catholic,2,2000-12-05T23:16:31Z
id_295,Married,52,White,$25000 or more,Strong democrat,Catholic,2,2000-10-20T18:47:41Z
id_296,Married,41,White,$25000 or more,Independent,Protestant,3,2000-11-12T14:33:06Z
id_297,Married,33,White,Less than 10000,Independent,Catholic,2,2001-01-12T04:36:23Z
id_298,Never married,34,White,$25000 or more,Independent,Catholic,3,2000-02-25T15:30:17Z
id_299,Married,38,White,Less than 10000,Independent,Catholic,2,2000-02-23T23:28:08Z
