marital,age,race,rincome,partyid,relig,tvhours,partyid2
Never married,80,Black,Less than 10000,Strong republican,Other,7,Republican
Widowed,15,White,$10000 - 14999,Not str democrat,Other,1,Democrat
Never married,15,Black,$10000 - 14999,Not str democrat,None,0,Democrat
Never married,27,White,Less than 10000,Not str democrat,Protestant,3,Democrat
Separated,17,White,$15000 - 19999,Not str republican,None,3,Republican
Divorced,15,Black,$20000 - 24999,Independent,Catholic,3,Independent
Married,15,Other,$25000 or more,Independent,Catholic,0,Independent
Separated,72,Black,$15000 - 19999,Not str democrat,Protestant,6,Democrat
Widowed,29,Other,$10000 - 14999,Not str democrat,Protestant,4,Democrat
Widowed,16,Other,$10000 - 14999,Strong republican,Other,0,Republican
Separated,17,Black,Less than 10000,Strong republican,None,3,Republican
Never married,15,Other,$10000 - 14999,Not str republican,Catholic,0,Republican
Never married,60,White,$25000 or more,Strong democrat,Other,7,Democrat
Never married,55,Black,$25000 or more,Strong republican,Other,5,Republican
Married,18,White,$15000 - 19999,Strong democrat,Other,5,Democrat
Widowed,14,White,$15000 - 19999,Independent,None,0,Independent
Divorced,12,Black,$15000 - 19999,Independent,Protestant,0,Independent
Divorced,14,Other,$10000 - 14999,Independent,None,1,Independent
Married,36,White,$15000 - 19999,Not str republican,None,4,Republican
Never married,24,Black,$20000 - 24999,Not str republican,None,1,Republican
Never married,36,Other,$25000 or more,Strong republican,Catholic,2,Republican
Widowed,17,Other,Less than 10000,Independent,Catholic,5,Independent
Separated,20,Black,$10000 - 14999,Independent,None,2,Independent
Married,12,White,$15000 - 19999,Not str democrat,Protestant,1,Democrat
Divorced,31,Black,$25000 or more,Not str democrat,Catholic,4,Democrat
Never married,12,Black,Less than 10000,Not str republican,Protestant,0,Republican
Divorced,23,Other,$10000 - 14999,Independent,Catholic,2,Independent
Married,19,Black,$25000 or more,Strong republican,Protestant,1,Republican
Married,41,Black,$20000 - 24999,Strong democrat,Other,9,Democrat
Never married,20,Other,$10000 - 14999,Strong democrat,None,1,Democrat
Married,24,White,Less than 10000,Not str democrat,Catholic,2,Democrat
Divorced,20,White,$20000 - 24999,Not str republican,Other,1,Republican
Separated,42,Other,Less than 10000,Independent,Catholic,4,Independent
Never married,13,Other,$25000 or more,Not str democrat,Catholic,0,Democrat
Separated,15,Other,$10000 - 14999,Strong republican,None,2,Republican
Separated,12,White,$25000 or more,Not str democrat,Catholic,3,Democrat
Married,18,Black,$15000 - 19999,Not str democrat,Protestant,1,Democrat
Married,26,White,$10000 - 14999,Not str republican,Catholic,2,Republican
Never married,15,Other,$25000 or more,Independent,None,0,Independent
Separated,29,White,$10000 - 14999,Strong republican,Catholic,3,Republican
Divorced,26,Other,$25000 or more,Not str democrat,Protestant,2,Democrat
Never married,24,Black,$15000 - 19999,Strong democrat,Catholic,1,Democrat
Separated,21,White,$10000 - 14999,Not str republican,None,2,Republican
Separated,28,White,$20000 - 24999,Strong republican,Catholic,2,Republican
Married,21,Other,$10000 - 14999,Not str republican,None,2,Republican
Never married,21,Black,$15000 - 19999,Strong republican,Other,1,Republican
Separated,27,Black,$15000 - 19999,Strong democrat,Protestant,5,Democrat
Never married,14,Black,$25000 or more,Not str republican,Catholic,2,Republican
Married,11,Black,$10000 - 14999,Independent,Catholic,0,Independent
Married,26,Other,$20000 - 24999,Strong republican,Protestant,4,Republican
Divorced,29,Black,$25000 or more,Strong republican,Catholic,2,Republican
Divorced,39,White,$20000 - 24999,Strong democrat,Catholic,3,Democrat
Never married,75,Other,$15000 - 19999,Not str republican,None,6,Republican
Widowed,16,Other,$25000 or more,Not str democrat,None,2,Democrat
Divorced,60,White,$25000 or more,Independent,None,5,Independent
Separated,27,White,Less than 10000,Independent,Other,2,Independent
Divorced,33,Black,$15000 - 19999,Strong democrat,Protestant,4,Democrat
Never married,20,Other,$25000 or more,Strong republican,Other,1,Republican
Divorced,23,Black,$20000 - 24999,Strong republican,None,1,Republican
Widowed,34,Black,$20000 - 24999,Strong republican,None,2,Republican
Married,24,Other,Less than 10000,Independent,Catholic,1,Independent
Never married,13,Black,$20000 - 24999,Strong democrat,Catholic,0,Democrat
Divorced,48,Black,$25000 or more,Not str democrat,None,6,Democrat
Separated,14,Other,Less than 10000,Independent,Other,0,Independent
Never married,18,White,$10000 - 14999,Strong democrat,Protestant,4,Democrat
Separated,142,Black,$20000 - 24999,Strong republican,Other,13,Republican
Separated,13,Other,$20000 - 24999,Strong republican,Catholic,0,Republican
Widowed,27,White,$20000 - 24999,Independent,Catholic,2,Independent
